,title,year,month,day,link,description,category
94,بهرام زند,1397,1.0,18.0,https://fa.wikipedia.org/wiki/%D8%A8%D9%87%D8%B1%D8%A7%D9%85_%D8%B2%D9%86%D8%AF,,Death
95,محمدابراهیم جعفری,1397,1.0,18.0,https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF%D8%A7%D8%A8%D8%B1%D8%A7%D9%87%DB%8C%D9%85_%D8%AC%D8%B9%D9%81%D8%B1%DB%8C,,Death
96,حسن تقی‌پور,1402,1.0,18.0,https://fa.wikipedia.org/wiki/%D8%AD%D8%B3%D9%86_%D8%AA%D9%82%DB%8C%E2%80%8C%D9%BE%D9%88%D8%B1,,Death
97,عبدالحمید مبارز,1403,1.0,18.0,https://fa.wikipedia.org/w/index.php?title=%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D8%AD%D9%85%DB%8C%D8%AF_%D9%85%D8%A8%D8%A7%D8%B1%D8%B2&action=edit&redlink=1,,Death
98,تقی محمدی,1365,1.0,19.0,https://fa.wikipedia.org/wiki/%D8%AA%D9%82%DB%8C_%D9%85%D8%AD%D9%85%D8%AF%DB%8C,,Death
99,ایرج بقایی کرمانی,1391,1.0,19.0,https://fa.wikipedia.org/wiki/%D8%A7%DB%8C%D8%B1%D8%AC_%D8%A8%D9%82%D8%A7%DB%8C%DB%8C_%DA%A9%D8%B1%D9%85%D8%A7%D9%86%DB%8C,,Death
100,محمد کرمی‌راد,1400,1.0,19.0,https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF_%DA%A9%D8%B1%D9%85%DB%8C%E2%80%8C%D8%B1%D8%A7%D8%AF,,Death
101,امیرحسین ربیعی,1358,1.0,20.0,https://fa.wikipedia.org/wiki/%D8%A7%D9%85%DB%8C%D8%B1%D8%AD%D8%B3%DB%8C%D9%86_%D8%B1%D8%A8%DB%8C%D8%B9%DB%8C,,Death
102,واهان بیجانیان,1382,1.0,20.0,https://fa.wikipedia.org/wiki/%D9%88%D8%A7%D9%87%D8%A7%D9%86_%D8%A8%DB%8C%D8%AC%D8%A7%D9%86%DB%8C%D8%A7%D9%86,,Death
103,سید جلال یحیی‌زاده فیروزآبادی,1392,1.0,20.0,https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D8%AF_%D8%AC%D9%84%D8%A7%D9%84_%DB%8C%D8%AD%DB%8C%DB%8C%E2%80%8C%D8%B2%D8%A7%D8%AF%D9%87_%D9%81%DB%8C%D8%B1%D9%88%D8%B2%D8%A2%D8%A8%D8%A7%D8%AF%DB%8C,,Death
104,ناصر گیتی‌جاه,1393,1.0,20.0,https://fa.wikipedia.org/wiki/%D9%86%D8%A7%D8%B5%D8%B1_%DA%AF%DB%8C%D8%AA%DB%8C%E2%80%8C%D8%AC%D8%A7%D9%87,,Death
105,علی‌اکبر آقایی مغانجویی,1394,1.0,20.0,https://fa.wikipedia.org/wiki/%D8%B9%D9%84%DB%8C%E2%80%8C%D8%A7%DA%A9%D8%A8%D8%B1_%D8%A2%D9%82%D8%A7%DB%8C%DB%8C_%D9%85%D8%BA%D8%A7%D9%86%D8%AC%D9%88%DB%8C%DB%8C,,Death
106,ثریا حکمت,1395,1.0,20.0,https://fa.wikipedia.org/wiki/%D8%AB%D8%B1%DB%8C%D8%A7_%D8%AD%DA%A9%D9%85%D8%AA,,Death
107,علیرضا ذکاوتی,1404,1.0,20.0,https://fa.wikipedia.org/wiki/%D8%B9%D9%84%DB%8C%D8%B1%D8%B6%D8%A7_%D8%B0%DA%A9%D8%A7%D9%88%D8%AA%DB%8C,,Death
108,رضا شمس‌آبادی,1344,1.0,21.0,https://fa.wikipedia.org/wiki/%D8%B1%D8%B6%D8%A7_%D8%B4%D9%85%D8%B3%E2%80%8C%D8%A2%D8%A8%D8%A7%D8%AF%DB%8C,,Death
109,ناصر مقدم,1358,1.0,21.0,https://fa.wikipedia.org/wiki/%D9%86%D8%A7%D8%B5%D8%B1_%D9%85%D9%82%D8%AF%D9%85,,Death
110,کیومرث ملک‌مطیعی,1389,1.0,21.0,https://fa.wikipedia.org/wiki/%DA%A9%DB%8C%D9%88%D9%85%D8%B1%D8%AB_%D9%85%D9%84%DA%A9%E2%80%8C%D9%85%D8%B7%DB%8C%D8%B9%DB%8C,,Death
111,بزرگ لشگری,1397,1.0,21.0,https://fa.wikipedia.org/wiki/%D8%A8%D8%B2%D8%B1%DA%AF_%D9%84%D8%B4%DA%AF%D8%B1%DB%8C,,Death
